WELFARECODE,MEDICINENAME,件数
2171022F4265,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠5mg,426
2189015F2038,◇ｱﾄﾙﾊﾞｽﾀﾁﾝ錠10mg,294
2354003F2340,◇ｾﾝﾉｼﾄﾞ錠12mg,172
2590009F6073,◇ﾅﾌﾄﾋﾟｼﾞﾙOD錠25mg,14
3339002F5025,◇ﾘｸｼｱﾅOD錠30mg,208
1149019F1587,◇ﾛｷｿﾌﾟﾛﾌｪﾝNa錠60mg,231
2190016Q2034,◇ﾎﾟﾘｽﾁﾚﾝｽﾙﾎﾝ酸Ca経口ｾﾞﾘｰ20%分包25g,37
2329021F1331,◇ﾚﾊﾞﾐﾋﾟﾄﾞ錠100mg,446
1149019F1480,ロキソプロフェン錠「ＥＭＥＣ」６０ｍｇ,37952
2329012M1293,テプレノンカプセル５０ｍｇ「トーワ」,14816
2646730Q1026,◇ｱﾝﾃﾍﾞｰﾄﾛｰｼｮﾝ0.05%,22
3339950M1137,◇ﾋﾙﾄﾞｲﾄﾞｿﾌﾄ軟膏0.3%,142
2646730M1059,◇ｱﾝﾃﾍﾞｰﾄ軟膏0.05%,79
1190027F2029,デエビゴ錠５ｍｇ,15661
1179038F1023,リスパダール錠１ｍｇ,2226
1179042F4045,クエチアピン錠１２．５ｍｇ「明治」,1916
2329021F1331,レバミピド錠１００ｍｇ「オーツカ」,18673
1149117F1195,トアラセット配合錠「トーワ」,5124
2359005S1321,ピコスルファートNa内用液0.75%｢KN｣･10mL,553
3112006M2029,エディロールカプセル0.75μg,7642
3122007F2039,アリナミンＦ糖衣錠２５ｍｇ,1576
3136004F2138,メチコバール錠５００μｇ,17048
2790820Q1040,ネオステリングリーンうがい液0.2%･40mL,239
2329030F1020,タケキャブ錠１０ｍｇ,16649
2590011F3020,◇ﾍﾞｼｹｱOD錠2.5mg,29
2149040F3258,◇ｶﾝﾃﾞｻﾙﾀﾝ錠8mg,29
5200131D1065,ﾂﾑﾗ補中益気湯(2.5g/包)TJ-41,1269
2239001F1580,◇ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩錠15mg,8
2249001F2079,◇ﾚｽﾌﾟﾚﾝ錠20mg,7
2344009F1060,◇酸化ﾏｸﾞﾈｼｳﾑ錠250mg,53
2559101X1036,◇ﾍﾓﾅｰｾﾞ配合錠,39
3339004F1029,☆エリキュース錠2.5mg,724
2171008F1070,☆ワソラン錠４０ｍｇ,896
2590011F4027,ベシケアＯＤ錠５ｍｇ,1084
2149040F2030,カンデサルタン錠４ｍｇ「あすか」,8458
2233002F2111,カルボシステイン錠５００ｍｇ「トーワ」,8335
2699802Q1026,ドボベットゲル１５ｇ（院外専用）,98
3119001M2027,チガソンカプセル２５ｍｇ,171
2139001S2032,イソバイドｼﾛｯﾌﾟ70％(30mL/包)(院外)【AD】,103
2652701M2021,サリチル酸ワセリン軟膏１０％,432
2133001F1590,◇ｽﾋﾟﾛﾉﾗｸﾄﾝ錠25mg,111
2329028F1198,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙﾅﾄﾘｳﾑ錠10mg,14
3949003F2020,◇ﾌｪﾌﾞﾘｸ錠20mg,247
3969011F1020,◇ｴｸｱ錠50mg,94
2344009F2031,◇ﾏｸﾞﾐｯﾄ錠330mg,1180
5200067D1049,◇ﾂﾑﾗ芍薬甘草湯ｴｷｽ顆粒ｲ),161
4490023F1024,◇ｱﾚｸﾞﾗ錠60mg,141
1141007F2027,◇ｶﾛﾅｰﾙ錠300,170
3339950Q1090,◇ﾍﾊﾟﾘﾝ類似物質ﾛｰｼｮﾝ0.3%,130
3999001Q2090,ラクツロースシロップ65%｢ﾀｶﾀ｣(650mg/mL),689
2699705M1038,プロスタンディン軟膏１０ｇ,1176
3949003F2020,フェブリク錠２０ｍｇ,11458
2649716M1042,アズノール軟膏０．０３３％・２０ｇ,5918
2189010F2043,◇ﾌﾟﾗﾊﾞｽﾀﾁﾝNa錠10mg,100
3222013F1149,◇ｸｴﾝ酸第一鉄Na錠50mg,272
2239001F1467,◇ｱﾝﾌﾞﾛｷｿｰﾙ塩酸塩錠15mg,107
1319739Q1037,キサラタン点眼液０．００５％・２．５ｍｌ,3994
1319702Q2111,チモプトール点眼液０．５％・５ｍｌ【AD】,465
1319743Q1033,ブロナック点眼液０．１％・５ｍｌ,1801
1319761Q1023,アイファガン点眼液0.1％･5mL,3627
1319763Q1022,グラナテック点眼液０．４％・５ｍL,4974
1315706Q2102,リンデロン液０．１％５ｍｌ（点眼用）,16120
1319742Q2027,クラビット点眼液１．５％・５ｍＬ,22324
6132002E2030,Ｌ－ケフレックス顆粒(500mg(力価)/1g/包),7427
2189010F2370,プラバスタチンＮａ錠１０ｍｇ「トーワ」,5482
1319749Q1030,ガチフロ点眼液０．３％・５ｍｌ,642
1319822Q1021,タプコム配合点眼液2.5mL(院外専用)【AD】,199
1319743Q1033,ブロナック点眼液０．１％・５ｍＬ,4054
1319826Q1020,グラアルファ配合点眼液・５ｍＬ（院外）,396
2129008M2020,☆サンリズムカプセル５０ｍｇ,454
2139009F3029,トラセミドＯＤ錠４ｍｇ「ＴＥ」【AD】,2287
2362001F2149,ウルソ錠１００ｍｇ（院外専用）,1734
2149044F6026,オルメテックＯＤ錠２０ｍｇ（院外専用）,519
2171022F3030,アムロジピンＯＤ錠２．５ｍｇ「トーワ」,12672
2119006F1020,ピモベンダン錠１.２５mg｢ＴＥ｣,4286
2149700S3020,☆ビソノテープ２ｍｇ【AD】,201
2113003F2029,☆ハーフジゴキシンＫＹ錠０．１２５ｍｇ,796
2139005F3020,フロセミド錠１０ｍｇ「ＮＰ」【AD】,5857
2149044F5020,オルメテックＯＤ錠１０ｍｇ（院外専用）,273
2113003F2029,ハーフジゴキシンＫＹ錠０．１２５ｍｇ,1202
2362001F2149,◇ｳﾙｿ錠100mg,238
2149700S3020,ビソノテープ２ｍｇ【AD】,695
3999018Q1022,ボナロン経口ゼリー（３５ｍｇ／包),15574
2362001F2220,ウルソデオキシコール酸錠１００mg｢トーワ｣,20736
2362001D1060,ウルソ顆粒（成分量で入力のこと）,1747
1190027F1022,デエビゴ錠２．５ｍｇ,4221
1190023F1024,ベルソムラ錠１５ｍｇ,4613
2329023F1071,ランソプラゾールＯＤ錠１５ｍｇ「トーワ」,27835
6241013F3027,クラビット錠５００ｍｇ（院外専用）,1491
6241013F2020,クラビット錠２５０ｍｇ（院外専用）,463
2129008M2020,サンリズムカプセル５０ｍｇ,685
3339002F4029,リクシアナＯＤ錠１５ｍｇ（抗凝固薬）,1920
1319823Q1026,ミケルナ配合点眼液2.5mL(院外専用)【AD】,1851
1319825Q1025,アイラミド配合懸濁性点眼液5mL(院外専用),1831
2134002F1109,ダイアモックス錠２５０ｍｇ【AD】,3019
3229005F1080,アスパラカリウム錠３００ｍｇ,11799
2171021F2101,◇ﾍﾞﾆｼﾞﾋﾟﾝ塩酸塩錠4mg,100
2329028F1023,◇ﾊﾟﾘｴｯﾄ錠10mg,202
4490014F2021,◇ｱﾚｼﾞｵﾝ錠20,75
1129009F1025,◇ﾏｲｽﾘｰ錠5mg,184
2134002F1109,◇ﾀﾞｲｱﾓｯｸｽ錠250mg,83
2190006M2179,◇ﾕﾍﾞﾗNｿﾌﾄｶﾌﾟｾﾙ200mg,81
2344009F1051,◇酸化ﾏｸﾞﾈｼｳﾑ錠250mg,118
3229005F1080,◇ｱｽﾊﾟﾗｶﾘｳﾑ錠300mg,171
5200140C1042,◇ｸﾗｼｴ抑肝散加陳皮半夏ｴｷｽ細粒,17
2316017F2023,◇ﾋﾞｵｽﾘｰ配合OD錠,156
2399010F2261,◇ﾓｻﾌﾟﾘﾄﾞｸｴﾝ酸塩錠5mg,184
4490010N1021,◇ｹﾀｽｶﾌﾟｾﾙ10mg,47
2171021F2020,コニール錠４ｍｇ,2574
4490019F4027,エバステルＯＤ錠１０ｍｇ,929
1129009F1351,(向)ゾルピデム酒石酸塩錠５ｍｇ「ＫＭＰ」,7298
2190006M1210,トコフェロールﾆｺﾁﾝ酸ｴｽﾃﾙｶﾌﾟｾﾙ100mg｢ﾄｰﾜ｣,2691
5200139D1037,ツムラ抑肝散(2.5g/包)TJ-54,2890
2399010F2245,モサプリドクエン酸塩錠５ｍｇ「日医工」,9354
4490010N1021,ケタスカプセル１０ｍｇ（院外専用）,338
1312701Q3082,サンピロ点眼液２％・５ｍｌ,976
2590010F4022,ユリーフＯＤ錠４ｍｇ,4374
2325003F4ZZZ,【般】ファモチジン口腔内崩壊錠20mg,298
1147002F1560,ボルタレン錠２５ｍｇ,1309
2329021F1ZZZ,【般】レバミピド錠100mg,4885
1319710Q2078,サンコバ点眼液０．０２％・５ｍＬ（院外）,832
1149038G1020,ワントラム錠１００ｍｇ,1580
3150002F1239,ユベラ錠５０ｍｇ,1777
2139008F2028,ダイアート錠３０ｍｇ【AD】,9515
2149012F1059,◇ﾅﾄﾘｯｸｽ錠1,143
2149118F2026,◇ｱｲﾐｸｽ配合錠HD,58
1124009F2025,◇ﾚﾝﾄﾞﾙﾐﾝD錠0.25mg,197
2344009F4042,◇酸化ﾏｸﾞﾈｼｳﾑ錠500mg,62
2290801G2025,シムビコートタービュヘイラー60吸入【AD】,1186
2132003F3055,トリクロルメチアジド錠１ｍｇ｢ﾄｰﾜ｣【AD】,4886
2149118F2034,イルアミクス配合錠ＨＤ｢DSPB｣(I100/AM10),865
1124009F2076,☆ブロチゾラムＯＤ錠０．２５ｍｇ｢サワイ｣,5427
2139008F2028,◇ﾀﾞｲｱｰﾄ錠30mg,54
2139009F1026,◇ﾙﾌﾟﾗｯｸ錠4mg,45
3949003F1023,◇ﾌｪﾌﾞﾘｸ錠10mg,264
2344009F4050,◇酸化ﾏｸﾞﾈｼｳﾑ錠500mg,22
2590010F4022,◇ﾕﾘｰﾌOD錠4mg,47
2699801V1106,◇ﾕｰﾊﾟｽﾀｺｰﾜ軟膏,3
2290801G2025,◇ｼﾑﾋﾞｺｰﾄﾀｰﾋﾞｭﾍｲﾗｰ60吸入,67
1124009F2076,(向)ブロチゾラムＯＤ錠０．２５ｍｇ｢サワイ｣,5776
3321002F2366,アドナ錠３０ｍｇ,973
2431004F1056,チラーヂンＳ錠５０μｇ,15951
2431004F2052,チラーヂンＳ錠２５μｇ,12108
3999026F2022,ボノテオ錠50mg,2915
2149042F3028,ミカルディス錠８０ｍｇ（院外専用）,171
1190017F2025,リリカＯＤ錠７５ｍｇ,5314
2171022F6039,ノルバスクＯＤ錠１０ｍｇ（院外専用）,153
2329029M1027,ネキシウムカプセル10mg,12029
2171014G5025,アダラートＣＲ錠40mg,1369
2149012F1059,ナトリックス錠１ｍｇ（院外専用）【AD】,478
2149042F3028,◇ﾐｶﾙﾃﾞｨｽ錠80mg,12
2171022F5032,◇ﾉﾙﾊﾞｽｸ錠10mg,5
2171014G5092,◇ﾆﾌｪｼﾞﾋﾟﾝCR錠40mg,15
2149042F2030,テルミサルタン錠４０ｍｇ「ＤＳＥＰ」,4981
2149037F2055,シルニジピン錠１０ｍｇ「サワイ」,2758
7121703X1410,白色ワセリン,1958
5200067C1060,ｸﾗｼｴ芍薬甘草湯(3ｇ/包)KB-68(院外専用),250
2431004F5027,チラーヂンＳ錠７５μｇ(院外専用),1668
2149037F3027,アテレック錠２０ｍｇ（院外専用）,253
2431004F5027,◇ﾁﾗｰﾁﾞﾝS錠75μg,224
2149037F3035,◇ｼﾙﾆｼﾞﾋﾟﾝ錠20mg,12
2171014G5068,◇ﾆﾌｪｼﾞﾋﾟﾝCR錠40mg,132
2649735S3020,ロキソニンテープ１００ｍｇ（７枚／袋）,10558
2190041F2023,エンレスト錠１００ｍｇ,3795
2171014G5025,アダラートＣＲ錠40mg（院外専用）,579
2190041F3020,エンレスト錠２００ｍｇ（院外専用）,610
2649729S1197,ケトプロフェンパップ30mg｢日医工｣(7枚/袋),2910
6149003F2038,クラリス錠２００ｍｇ（院外専用）,417
2223001F2099,メジコン錠１５ｍｇ,5221
2492416G3020,☆ランタスＸＲ注ソロスター(450単位/1.5mL)【AD】,771
3112001F1063,カルフィーナ錠０．２５μｇ,316
2149044F6034,オルメサルタンＯＤ錠２０ｍｇ「ＤＳＥＰ」,3442
2344009C1039,酸化ﾏｸﾞﾈｼｳﾑ細粒83%｢ｹﾝｴｰ｣(0.33g/0.4g/包),3178
3399004M4025,エパデールＳカプセル９００ｍｇ,1926
3399005F1030,☆プロサイリン錠２０μｇ,53
2492415G6025,☆ノボラピッド注フレックスタッチ(300単位/3mL)【AD】,2191
1180107D1131,ＰＬ配合顆粒（１ｇ／包）,985
3399004M4076,◇ｲｺｻﾍﾟﾝﾄ酸ｴﾁﾙ粒状ｶﾌﾟｾﾙ900mg,122
3136004F2235,◇ﾒｺﾊﾞﾗﾐﾝ錠500μg,482
3399005F1196,◇ﾍﾞﾗﾌﾟﾛｽﾄNa錠20μg,27
1319720Q3078,ヒアレイン点眼液０．１％・５ｍｌ,5444
3231001X1094,ブドウ糖末（５ｇ／包）,2404
1319720Q5038,ヒアレインミニ点眼液０．３％・０．４ｍｌ,31
3112001F1063,アルファカルシドール錠0.25μg「ｱﾒﾙ」,7817
3399005F1030,☆プロサイリン錠２０μ（院外専用）,75
3399005F1021,☆ドルナー錠２０μｇ,333
2139008F1056,◇ﾀﾞｲｱｰﾄ錠60mg,30
2189010F2272,◇ﾌﾟﾗﾊﾞｽﾀﾁﾝNa錠10mg,63
2329028F1120,◇ﾗﾍﾞﾌﾟﾗｿﾞｰﾙNa錠10mg,69
2171022F4257,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠5mg,210
2139008F1056,ダイアート錠６０ｍｇ【AD】,3100
3969015F3021,☆テネリアＯＤ錠２０ｍｇ(糖尿病用薬),440
2590014F1021,ベタニス錠25mg,2349
2357701K6239,ケンエーＧ浣腸液５０％(Ｌタイプ)６０ｍｌ,1054
1129009F1351,☆ゾルピデム酒石酸塩錠５ｍｇ「ＫＭＰ」,5914
2359700J2106,テレミンソフト坐薬１０ｍｇ,3908
2344009F2ZZZ,【般】酸化マグネシウム錠330mg,5300
6132016F2020,フロモックス錠１００ｍｇ（院外専用）,884
2359110B1037,モビコール配合内用剤,226
2139009F2030,◇ﾄﾗｾﾐﾄﾞ錠8mg,7
2359008F1025,グーフィス錠５ｍｇ,3375
2590008F1085,◇ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.1mg,15
2590014F2028,◇ﾍﾞﾀﾆｽ錠50mg,269
2399706M1125,デキサメタゾン口腔用軟膏0.1%｢NK｣･5g,2121
2590008F2073,タムスロシン塩酸塩ＯＤ錠0.2mg｢日医工｣,3953
2171022F3269,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠2.5mg,195
2359008F1025,◇ｸﾞｰﾌｨｽ錠5mg,82
1124009F2068,◇ﾌﾞﾛﾁｿﾞﾗﾑOD錠0.25mg,145
5200136D1033,◇ﾂﾑﾗ麻子仁丸ｴｷｽ顆粒ｲ),79
1179037F1029,レスリン錠２５ｍｇ,5256
6135001F2025,ホスミシン錠５００ｍｇ,287
3259109S1025,エンシュア・リキッド(ﾊﾞﾆﾗ)２５０ｍｌ,1136
3259114S1026,エンシュア・Ｈ(ｺｰﾋｰ)２５０ｍＬ,3771
2171022F4273,◇ｱﾑﾛｼﾞﾋﾟﾝOD錠5mg,206
2189017F3106,◇ﾛｽﾊﾞｽﾀﾁﾝOD錠2.5mg,8
2329023F1080,◇ﾗﾝｿﾌﾟﾗｿﾞｰﾙOD錠15mg,662
2590017F1025,◇ﾍﾞｵｰﾊﾞ錠50mg,175
3399007H1021,◇ﾊﾞｲｱｽﾋﾟﾘﾝ錠100mg,712
3399008F2315,◇ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠75mg,9
3122007F2039,◇25mgｱﾘﾅﾐﾝF糖衣錠,57
3136004F2138,◇ﾒﾁｺﾊﾞｰﾙ錠500μg,394
1339005F1296,◇ﾒﾘｽﾛﾝ錠6mg,65
2590017F1025,ベオーバ錠５０ｍｇ,2570
3399007H1021,バイアスピリン錠１００ｍｇ,18640
3399008F2110,クロピドグレル錠７５ｍｇ「ＳＡＮＩＫ」,2859
1339005F1490,ベタヒスチンメシル酸塩錠６ｍｇ「ＪＤ」,582
2123016F3037,メインテート錠０．６２５ｍｇ【ＡＤ】,5460
1319756Q1022,タプロス点眼液0.0015%・2.5mL,822
2359110B1037,◇ﾓﾋﾞｺｰﾙ配合内用剤LD,77
2359110B1037,モビコール配合内用剤ＬＤ,2185
1319810Q1053,ミドリンＰ点眼液５ｍｌ,1752
1319759Q1026,ネバナック懸濁性点眼液０．１％・５ｍＬ,2892
1319719M1046,ゾビラックス眼軟膏３％・５ｇ,664
1319760Q1029,ムコスタ点眼液ＵＤ２％・0.35mL,298
1319722M1056,タリビッド眼軟膏０．３％・３．５ｇ,4088
1319760Q1029,【1回使い切り】ムコスタ点眼液UD2%･0.35mL,2327
1319739Q1258,ﾗﾀﾉﾌﾟﾛｽﾄPF点眼液0.005%・2.5mL｢日点｣(院外,710
1319762Q2024,アレジオンＬＸ点眼液０．１％・５ｍＬ,1768
1315701Q3033,サンテゾーン点眼液0.1%･5mL（院外専用）,453
1317702Q1064,ｸﾛﾗﾑﾌｪﾆｺｰﾙ点眼液0.5%｢ﾆｯﾄｰ｣･5mL(院外専用),43
1315704Q3126,フルメトロン点眼液０．１％・５ｍｌ,5677
2149046F1147,◇ｲﾙﾍﾞｻﾙﾀﾝ錠50mg,4
2189017F1111,◇ﾛｽﾊﾞｽﾀﾁﾝ錠2.5mg,16
3399008F2110,◇ｸﾛﾋﾟﾄﾞｸﾞﾚﾙ錠75mg,128
3969019F1027,◇ﾌｫｼｰｶﾞ錠5mg,137
2149032F4110,◇ｶﾙﾍﾞｼﾞﾛｰﾙ錠2.5mg,11
1319719M1046,◇ｿﾞﾋﾞﾗｯｸｽ眼軟膏3%,7
1315704Q3126,◇ﾌﾙﾒﾄﾛﾝ点眼液0.1%,71
1317702Q1064,◇ｸﾛﾗﾑﾌｪﾆｺｰﾙ点眼液0.5%,1
2149046F2046,イルベサルタン錠１００ｍｇ「ＤＳＰＢ」,1866
2149032F3024,アーチスト錠１．２５ｍｇ【AD】,1635
2325003F3124,ファモチジンＤ錠１０ｍｇ「サワイ」,5402
2454004F2090,リンデロン錠０．５ｍｇ【AD】,3338
3969019F1027,フォシーガ錠５ｍｇ,3052
1315706Q2102,リンデロン液０．１％５ｍｌ（点眼用）(院外),1046
2171014G3022,アダラートＣＲ錠10mg,2965
2171014G4029,アダラートＣＲ錠20mg,7490
3399100F1116,☆低用量バファリン配合錠Ａ８１,833
3969010F2022,☆グラクティブ錠５０ｍｇ,1012
2189010F2027,メバロチン錠１０ｍｇ（院外専用）,976
3969004F3023,☆ベイスンＯＤ錠０．２ｍｇ（院外専用）,111
3339002F4029,☆リクシアナＯＤ錠１５ｍｇ（抗凝固薬）,645
3969010F2022,グラクティブ錠５０ｍｇ,1577
1190026F2024,タリージェ錠５ｍｇ,5433
1149023F1036,ノイロトロピン錠４単位,1660
3969004F3023,ベイスンＯＤ錠０．２ｍｇ（院外専用）,81
2171014G3065,◇ﾆﾌｪｼﾞﾋﾟﾝCR錠10mg,90
2171014G4061,◇ﾆﾌｪｼﾞﾋﾟﾝCR錠20mg,323
2189010F2027,◇ﾒﾊﾞﾛﾁﾝ錠10,110
2590008F2090,◇ﾀﾑｽﾛｼﾝ塩酸塩OD錠0.2mg,53
1190026F1028,◇ﾀﾘｰｼﾞｪ錠2.5mg,58
3399003F1103,◇ﾘﾏﾌﾟﾛｽﾄｱﾙﾌｧﾃﾞｸｽ錠5μg,151
3969004F3023,◇ﾍﾞｲｽﾝOD錠0.2,18
3969004F3082,ボグリボースＯＤ錠０．２ｍｇ「トーワ」,674
3969008F4028,グルファストＯＤ錠１０ｍｇ,862
2171018K1039,ニトロペン舌下錠０．３ｍｇ,606
2325003F4147,ファモチジンＤ錠２０ｍｇ「サワイ」,7468
2139005F1060,◇ﾌﾛｾﾐﾄﾞ錠20mg,192
2431004F2052,◇ﾁﾗｰﾁﾞﾝS錠25μg,222
2456001F1310,◇ﾌﾟﾚﾄﾞﾆﾝ錠5mg,366
2590011F4027,◇ﾍﾞｼｹｱOD錠5mg,16
2359006M1025,◇ｱﾐﾃｨｰｻﾞｶﾌﾟｾﾙ24μg,84
4490014F2242,◇ｴﾋﾟﾅｽﾁﾝ塩酸塩錠20mg,91
5200067C1060,◇ｸﾗｼｴ芍薬甘草湯ｴｷｽ細粒,16
2123016F3096,◇ﾋﾞｿﾌﾟﾛﾛｰﾙﾌﾏﾙ酸塩錠0.625mg,334
1149117F1039,◇ﾄｱﾗｾｯﾄ配合錠,156
1141007F1063,◇ｶﾛﾅｰﾙ錠200,121
2316020F1029,◇ﾋﾞｵﾌｪﾙﾐﾝ錠剤,386
2344009F2058,◇酸化ﾏｸﾞﾈｼｳﾑ錠330mg,602
2290803G3020,◇ﾚﾙﾍﾞｱ100ｴﾘﾌﾟﾀ30吸入用,39
2359006M1025,アミティーザカプセル２４μｇ,4893
2123016F3037,☆メインテート錠０．６２５ｍｇ【ＡＤ】,2744
4490023F2098,フェキソフェナジン塩酸塩錠３０mg｢SANIK｣,591
3332001F1024,☆ワーファリン錠１ｍｇ,6562
2133001F1522,アルダクトンＡ錠２５ｍｇ(院外専用)【AD】,2452
2316012A1132,ビオフェルミン配合散（１ｇ／包）,6334
2149044F8029,オルメテックＯＤ錠５ｍｇ（院外専用）,106
2452002F1030,コートリル錠１０ｍｇ【AD】,6929
3949101F1111,ポトレンド配合錠,359
